rank,title,year,rating,rating_count,genre_text,country_text,cluster,cluster_profile
131,玩具总动员3,2010,8.9,601537,喜剧 / 动画 / 奇幻 / 冒险,美国,0,动画奇幻与冒险片
132,花样年华,2000,8.8,813970,剧情 / 爱情,中国香港,3,华语剧情高口碑片
133,一个叫欧维的男人决定去死,2015,8.9,575294,剧情,瑞典,2,欧美剧情经典片
134,色，戒,2007,8.7,971342,剧情 / 爱情 / 情色,中国台湾 / 中国大陆 / 美国 / 中国香港,3,华语剧情高口碑片
135,完美的世界,1993,9.1,363111,剧情 / 犯罪,美国,2,欧美剧情经典片
136,怪兽电力公司,2001,8.8,776966,儿童 / 喜剧 / 动画 / 奇幻 / 冒险,美国,0,动画奇幻与冒险片
137,教父3,1990,9.0,436930,剧情 / 犯罪,美国,2,欧美剧情经典片
138,阳光灿烂的日子,1994,8.8,700985,剧情 / 爱情,中国大陆 / 中国香港,3,华语剧情高口碑片
139,小森林 夏秋篇,2014,9.0,477293,剧情,日本,2,欧美剧情经典片
140,天使爱美丽,2001,8.7,1025735,剧情 / 喜剧 / 爱情,法国 / 德国,2,欧美剧情经典片
141,侧耳倾听,1995,8.9,524651,剧情 / 爱情 / 动画,日本,2,欧美剧情经典片
142,哪吒闹海,1979,9.2,311393,冒险 / 动画 / 奇幻,中国大陆,0,动画奇幻与冒险片
143,九品芝麻官,1994,8.8,802221,剧情 / 喜剧 / 古装,中国香港,3,华语剧情高口碑片
144,被解救的姜戈,2012,8.8,698840,剧情 / 动作 / 西部 / 冒险,美国,0,动画奇幻与冒险片
145,请以你的名字呼唤我,2017,8.8,831942,剧情 / 爱情 / 同性,意大利 / 法国 / 巴西 / 美国,2,欧美剧情经典片
146,幸福终点站,2004,8.8,647454,喜剧 / 剧情 / 爱情,美国,2,欧美剧情经典片
147,釜山行,2016,8.6,1361025,动作 / 惊悚 / 灾难,韩国,1,悬疑惊悚与犯罪片
148,神偷奶爸,2010,8.7,1054378,喜剧 / 动画 / 冒险,美国 / 法国,0,动画奇幻与冒险片
149,小森林 冬春篇,2015,9.0,423879,剧情,日本,2,欧美剧情经典片
150,喜宴,1993,9.0,437249,剧情 / 喜剧 / 爱情 / 同性 / 家庭,中国台湾 / 美国,2,欧美剧情经典片
151,萤火之森,2011,8.8,617325,剧情 / 爱情 / 动画 / 奇幻,日本,0,动画奇幻与冒险片
152,告白,2010,8.8,749521,剧情 / 悬疑,日本,2,欧美剧情经典片
153,七武士,1954,9.3,238629,动作 / 冒险 / 剧情,日本,2,欧美剧情经典片
154,玛丽和麦克斯,2009,9.0,474545,剧情 / 喜剧 / 动画,澳大利亚 / 美国,2,欧美剧情经典片
155,头号玩家,2018,8.6,1528373,动作 / 科幻 / 冒险,美国,0,动画奇幻与冒险片
156,机器人之梦,2023,9.1,453119,剧情 / 动画 / 音乐,西班牙 / 法国,2,欧美剧情经典片
157,模仿游戏,2014,8.8,725287,剧情 / 传记 / 战争 / 同性,英国 / 美国,2,欧美剧情经典片
158,惊魂记,1960,9.0,360873,悬疑 / 惊悚 / 恐怖,美国,1,悬疑惊悚与犯罪片
159,大鱼,2003,8.8,631342,剧情 / 爱情 / 奇幻 / 冒险,美国,0,动画奇幻与冒险片
160,心灵奇旅,2020,8.7,1154040,动画 / 奇幻 / 音乐,美国,0,动画奇幻与冒险片
161,背靠背，脸对脸,1994,9.5,183184,剧情,中国大陆 / 中国香港,3,华语剧情高口碑片
162,你的名字。,2016,8.5,1606273,剧情 / 爱情 / 动画,日本,2,欧美剧情经典片
163,血战钢锯岭,2016,8.7,865376,剧情 / 传记 / 历史 / 战争,澳大利亚 / 美国,2,欧美剧情经典片
164,射雕英雄传之东成西就,1993,8.7,723189,喜剧 / 奇幻 / 武侠 / 古装,中国香港,3,华语剧情高口碑片
165,我是山姆,2001,9.0,380062,剧情 / 家庭,美国,2,欧美剧情经典片
166,末路狂花,1991,9.0,356408,犯罪 / 剧情 / 惊悚,美国 / 英国 / 法国,1,悬疑惊悚与犯罪片
167,阳光姐妹淘,2011,8.8,643002,剧情 / 喜剧,韩国,2,欧美剧情经典片
168,恐怖直播,2013,8.7,733945,剧情 / 犯罪 / 悬疑,韩国,1,悬疑惊悚与犯罪片
169,黑客帝国3：矩阵革命,2003,8.8,501481,动作 / 科幻,美国,0,动画奇幻与冒险片
170,高山下的花环,1984,9.5,163747,1985 / 中国大陆 / 剧情 / 战争,(中国大陆),2,欧美剧情经典片
171,小丑,2019,8.7,1132066,剧情 / 犯罪 / 惊悚,美国 / 加拿大,1,悬疑惊悚与犯罪片
172,谍影重重3,2007,8.9,475411,动作 / 悬疑 / 惊悚,美国 / 德国 / 法国 / 英国,1,悬疑惊悚与犯罪片
173,三块广告牌,2017,8.7,927180,剧情 / 犯罪,英国 / 美国,2,欧美剧情经典片
174,无间道2,2003,8.8,574213,剧情 / 犯罪 / 惊悚,中国香港,1,悬疑惊悚与犯罪片
175,电锯惊魂,2004,8.7,619307,悬疑 / 惊悚 / 恐怖,美国,1,悬疑惊悚与犯罪片
176,达拉斯买家俱乐部,2013,8.8,510532,剧情 / 传记 / 同性,美国,2,欧美剧情经典片
177,疯狂原始人,2013,8.7,928017,喜剧 / 动画 / 冒险,美国,0,动画奇幻与冒险片
178,绿里奇迹,1999,8.9,392455,犯罪 / 剧情 / 奇幻 / 悬疑,美国,1,悬疑惊悚与犯罪片
179,爱在午夜降临前,2013,8.8,480424,剧情 / 爱情,美国 / 希腊,2,欧美剧情经典片
180,疯狂的石头,2006,8.6,934049,喜剧 / 犯罪,中国大陆 / 中国香港,3,华语剧情高口碑片
181,雨中曲,1952,9.1,272270,喜剧 / 歌舞 / 爱情,美国,2,欧美剧情经典片
182,2001太空漫游,1968,8.9,402047,科幻 / 惊悚 / 冒险,英国 / 美国,1,悬疑惊悚与犯罪片
183,海街日记,2015,8.8,527732,剧情 / 家庭,日本,2,欧美剧情经典片
184,上帝之城,2002,9.0,336137,犯罪 / 剧情,巴西 / 法国,2,欧美剧情经典片
185,风之谷,1984,8.9,396563,动画 / 奇幻 / 冒险,日本,0,动画奇幻与冒险片
186,心迷宫,2014,8.7,624719,剧情 / 犯罪 / 悬疑,中国大陆,1,悬疑惊悚与犯罪片
187,英雄本色,1986,8.6,611569,剧情 / 动作 / 犯罪,中国香港,3,华语剧情高口碑片
188,记忆碎片,2000,8.7,710175,犯罪 / 剧情 / 悬疑 / 惊悚,美国,1,悬疑惊悚与犯罪片
189,纵横四海,1991,8.8,492601,剧情 / 喜剧 / 动作 / 犯罪,中国香港,3,华语剧情高口碑片
190,无敌破坏王,2012,8.7,617324,喜剧 / 动画 / 奇幻 / 冒险,美国,0,动画奇幻与冒险片
191,卢旺达饭店,2004,8.9,370310,剧情 / 传记 / 历史 / 战争,英国 / 南非 / 意大利 / 美国,2,欧美剧情经典片
192,恐怖游轮,2009,8.5,1002260,科幻 / 悬疑 / 奇幻 / 惊悚,英国 / 澳大利亚,1,悬疑惊悚与犯罪片
193,芙蓉镇,1987,9.3,194402,剧情 / 爱情,中国大陆,3,华语剧情高口碑片
194,东京教父,2003,9.0,295405,剧情 / 喜剧 / 动画,日本,2,欧美剧情经典片
195,牯岭街少年杀人事件,1991,8.9,375340,剧情 / 犯罪,中国台湾,2,欧美剧情经典片
196,小偷家族,2018,8.7,901692,剧情 / 犯罪 / 家庭,日本,2,欧美剧情经典片
197,魔女宅急便,1989,8.7,529960,动画 / 奇幻 / 冒险,日本,0,动画奇幻与冒险片
198,冰川时代,2002,8.7,691085,喜剧 / 动画 / 冒险,美国,0,动画奇幻与冒险片
199,忠犬八公物语,1987,9.2,220795,剧情,日本,2,欧美剧情经典片
200,岁月神偷,2010,8.7,615765,剧情 / 家庭,中国香港 / 中国大陆,3,华语剧情高口碑片
