rank,title,year,rating,rating_count,genre
149,小森林 冬春篇,2015,9.0,423879,剧情
150,喜宴,1993,9.0,437249,剧情
150,喜宴,1993,9.0,437249,喜剧
150,喜宴,1993,9.0,437249,爱情
150,喜宴,1993,9.0,437249,同性
150,喜宴,1993,9.0,437249,家庭
151,萤火之森,2011,8.8,617325,剧情
151,萤火之森,2011,8.8,617325,爱情
151,萤火之森,2011,8.8,617325,动画
151,萤火之森,2011,8.8,617325,奇幻
152,告白,2010,8.8,749521,剧情
152,告白,2010,8.8,749521,悬疑
153,七武士,1954,9.3,238629,动作
153,七武士,1954,9.3,238629,冒险
153,七武士,1954,9.3,238629,剧情
154,玛丽和麦克斯,2009,9.0,474545,剧情
154,玛丽和麦克斯,2009,9.0,474545,喜剧
154,玛丽和麦克斯,2009,9.0,474545,动画
155,头号玩家,2018,8.6,1528373,动作
155,头号玩家,2018,8.6,1528373,科幻
155,头号玩家,2018,8.6,1528373,冒险
156,机器人之梦,2023,9.1,453119,剧情
156,机器人之梦,2023,9.1,453119,动画
156,机器人之梦,2023,9.1,453119,音乐
157,模仿游戏,2014,8.8,725287,剧情
157,模仿游戏,2014,8.8,725287,传记
157,模仿游戏,2014,8.8,725287,战争
157,模仿游戏,2014,8.8,725287,同性
158,惊魂记,1960,9.0,360873,悬疑
158,惊魂记,1960,9.0,360873,惊悚
158,惊魂记,1960,9.0,360873,恐怖
159,大鱼,2003,8.8,631342,剧情
159,大鱼,2003,8.8,631342,爱情
159,大鱼,2003,8.8,631342,奇幻
159,大鱼,2003,8.8,631342,冒险
160,心灵奇旅,2020,8.7,1154040,动画
160,心灵奇旅,2020,8.7,1154040,奇幻
160,心灵奇旅,2020,8.7,1154040,音乐
161,背靠背，脸对脸,1994,9.5,183184,剧情
162,你的名字。,2016,8.5,1606273,剧情
162,你的名字。,2016,8.5,1606273,爱情
162,你的名字。,2016,8.5,1606273,动画
163,血战钢锯岭,2016,8.7,865376,剧情
163,血战钢锯岭,2016,8.7,865376,传记
163,血战钢锯岭,2016,8.7,865376,历史
163,血战钢锯岭,2016,8.7,865376,战争
164,射雕英雄传之东成西就,1993,8.7,723189,喜剧
164,射雕英雄传之东成西就,1993,8.7,723189,奇幻
164,射雕英雄传之东成西就,1993,8.7,723189,武侠
164,射雕英雄传之东成西就,1993,8.7,723189,古装
165,我是山姆,2001,9.0,380062,剧情
165,我是山姆,2001,9.0,380062,家庭
166,末路狂花,1991,9.0,356408,犯罪
166,末路狂花,1991,9.0,356408,剧情
166,末路狂花,1991,9.0,356408,惊悚
167,阳光姐妹淘,2011,8.8,643002,剧情
167,阳光姐妹淘,2011,8.8,643002,喜剧
168,恐怖直播,2013,8.7,733945,剧情
168,恐怖直播,2013,8.7,733945,犯罪
168,恐怖直播,2013,8.7,733945,悬疑
169,黑客帝国3：矩阵革命,2003,8.8,501481,动作
169,黑客帝国3：矩阵革命,2003,8.8,501481,科幻
170,高山下的花环,1984,9.5,163747,1985
170,高山下的花环,1984,9.5,163747,中国大陆
170,高山下的花环,1984,9.5,163747,剧情
170,高山下的花环,1984,9.5,163747,战争
171,小丑,2019,8.7,1132066,剧情
171,小丑,2019,8.7,1132066,犯罪
171,小丑,2019,8.7,1132066,惊悚
172,谍影重重3,2007,8.9,475411,动作
172,谍影重重3,2007,8.9,475411,悬疑
172,谍影重重3,2007,8.9,475411,惊悚
173,三块广告牌,2017,8.7,927180,剧情
173,三块广告牌,2017,8.7,927180,犯罪
174,无间道2,2003,8.8,574213,剧情
174,无间道2,2003,8.8,574213,犯罪
174,无间道2,2003,8.8,574213,惊悚
175,电锯惊魂,2004,8.7,619307,悬疑
175,电锯惊魂,2004,8.7,619307,惊悚
175,电锯惊魂,2004,8.7,619307,恐怖
176,达拉斯买家俱乐部,2013,8.8,510532,剧情
176,达拉斯买家俱乐部,2013,8.8,510532,传记
176,达拉斯买家俱乐部,2013,8.8,510532,同性
177,疯狂原始人,2013,8.7,928017,喜剧
177,疯狂原始人,2013,8.7,928017,动画
177,疯狂原始人,2013,8.7,928017,冒险
178,绿里奇迹,1999,8.9,392455,犯罪
178,绿里奇迹,1999,8.9,392455,剧情
178,绿里奇迹,1999,8.9,392455,奇幻
178,绿里奇迹,1999,8.9,392455,悬疑
179,爱在午夜降临前,2013,8.8,480424,剧情
179,爱在午夜降临前,2013,8.8,480424,爱情
180,疯狂的石头,2006,8.6,934049,喜剧
180,疯狂的石头,2006,8.6,934049,犯罪
181,雨中曲,1952,9.1,272270,喜剧
181,雨中曲,1952,9.1,272270,歌舞
181,雨中曲,1952,9.1,272270,爱情
182,2001太空漫游,1968,8.9,402047,科幻
182,2001太空漫游,1968,8.9,402047,惊悚
182,2001太空漫游,1968,8.9,402047,冒险
183,海街日记,2015,8.8,527732,剧情
183,海街日记,2015,8.8,527732,家庭
184,上帝之城,2002,9.0,336137,犯罪
184,上帝之城,2002,9.0,336137,剧情
185,风之谷,1984,8.9,396563,动画
185,风之谷,1984,8.9,396563,奇幻
185,风之谷,1984,8.9,396563,冒险
186,心迷宫,2014,8.7,624719,剧情
186,心迷宫,2014,8.7,624719,犯罪
186,心迷宫,2014,8.7,624719,悬疑
187,英雄本色,1986,8.6,611569,剧情
187,英雄本色,1986,8.6,611569,动作
187,英雄本色,1986,8.6,611569,犯罪
188,记忆碎片,2000,8.7,710175,犯罪
188,记忆碎片,2000,8.7,710175,剧情
188,记忆碎片,2000,8.7,710175,悬疑
188,记忆碎片,2000,8.7,710175,惊悚
189,纵横四海,1991,8.8,492601,剧情
189,纵横四海,1991,8.8,492601,喜剧
189,纵横四海,1991,8.8,492601,动作
189,纵横四海,1991,8.8,492601,犯罪
190,无敌破坏王,2012,8.7,617324,喜剧
190,无敌破坏王,2012,8.7,617324,动画
190,无敌破坏王,2012,8.7,617324,奇幻
190,无敌破坏王,2012,8.7,617324,冒险
191,卢旺达饭店,2004,8.9,370310,剧情
191,卢旺达饭店,2004,8.9,370310,传记
191,卢旺达饭店,2004,8.9,370310,历史
191,卢旺达饭店,2004,8.9,370310,战争
192,恐怖游轮,2009,8.5,1002260,科幻
192,恐怖游轮,2009,8.5,1002260,悬疑
192,恐怖游轮,2009,8.5,1002260,奇幻
192,恐怖游轮,2009,8.5,1002260,惊悚
193,芙蓉镇,1987,9.3,194402,剧情
193,芙蓉镇,1987,9.3,194402,爱情
194,东京教父,2003,9.0,295405,剧情
194,东京教父,2003,9.0,295405,喜剧
194,东京教父,2003,9.0,295405,动画
195,牯岭街少年杀人事件,1991,8.9,375340,剧情
195,牯岭街少年杀人事件,1991,8.9,375340,犯罪
