rank,title,original_title,people_info,year,country_text,genre_text,rating,rating_count,quote,detail_url,source_url,fetched_at,decade
39,海蒂和爷爷,Heidi,导演: 阿兰·葛斯彭纳 Alain Gsponer 主演: 阿努克·斯特芬 Anuk Steffen /...,2015,德国 / 瑞士,剧情 / 冒险 / 家庭,9.3,789280,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://movie.douban.com/subject/25958717/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2010
40,素媛,소원,导演: 李濬益 Jun-ik Lee 主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,2013,韩国,剧情,9.3,780021,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://movie.douban.com/subject/21937452/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2010
41,猫鼠游戏,Catch Me If You Can,导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 莱昂纳多·迪卡普里奥 L...,2002,美国 / 加拿大,传记 / 犯罪 / 剧情,9.1,1218442,骗子大师和执著警探的你追我跑故事。,https://movie.douban.com/subject/1305487/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2000
42,天空之城,天空の城ラピュタ,导演: 宫崎骏 Hayao Miyazaki 主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,1986,日本,动画 / 奇幻 / 冒险,9.2,1013867,对天空的追逐，永不停止。,https://movie.douban.com/subject/1291583/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,1980
43,鬼子来了,,导演: 姜文 Wen Jiang 主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,2000,中国大陆,剧情 / 喜剧,9.3,719063,对敌人的仁慈，就是对自己残忍。,https://movie.douban.com/subject/1291858/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2000
44,摔跤吧！爸爸,Dangal,导演: 涅提·蒂瓦里 Nitesh Tiwari 主演: 阿米尔·汗 Aamir Khan / 法缇玛...,2016,印度,剧情 / 传记 / 运动 / 家庭,9.0,1753571,你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://movie.douban.com/subject/26387939/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2010
45,少年派的奇幻漂流,Life of Pi,导演: 李安 Ang Lee 主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,2012,美国 / 中国台湾 / 英国 / 加拿大,剧情 / 奇幻 / 冒险,9.1,1495215,瑰丽壮观、无人能及的冒险之旅。,https://movie.douban.com/subject/1929463/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2010
46,钢琴家,The Pianist,导演: 罗曼·波兰斯基 Roman Polanski 主演: 艾德里安·布洛迪 Adrien Brod...,2002,英国 / 法国 / 波兰 / 德国 / 美国,剧情 / 传记 / 战争 / 音乐,9.3,754155,,https://movie.douban.com/subject/1296736/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2000
47,死亡诗社,Dead Poets Society,导演: 彼得·威尔 Peter Weir 主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...,1989,美国,剧情,9.2,890046,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://movie.douban.com/subject/1291548/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,1980
48,指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...,2002,美国 / 新西兰,剧情 / 动作 / 奇幻 / 冒险,9.2,861849,承前启后的史诗篇章。,https://movie.douban.com/subject/1291572/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2000
49,大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,导演: 刘镇伟 Jeffrey Lau 主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 / 中国大陆,喜剧 / 爱情 / 奇幻 / 古装,9.0,1371832,,https://movie.douban.com/subject/1299398/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,1990
50,绿皮书,Green Book,导演: 彼得·法雷里 Peter Farrelly 主演: 维果·莫腾森 Viggo Mortensen /...,2018,美国 / 中国大陆,剧情 / 喜剧 / 传记 / 音乐,8.9,1902749,去除成见，需要勇气。,https://movie.douban.com/subject/27060077/,https://movie.douban.com/top250?start=25&filter=,2026-06-26T20:43:20+08:00,2010
51,何以为家,كفرناحوم,导演: 娜丁·拉巴基 Nadine Labaki 主演: 扎因·拉费阿 Zain al-Rafeea / ...,2018,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,剧情,9.1,1166888,凝视卑弱生命，用电影改变命运。,https://movie.douban.com/subject/30170448/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2010
52,闻香识女人,Scent of a Woman,导演: 马丁·布莱斯 Martin Brest 主演: 阿尔·帕西诺 Al Pacino / 克里斯...,1992,美国,剧情,9.1,1028610,,https://movie.douban.com/subject/1298624/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1990
53,大闹天宫,,导演: 万籁鸣 Laiming Wan 主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...,1961,(中国大陆),1964(中国大陆) / 1978(中国大陆) / 中国大陆 / 剧情 / 动画 / 奇幻 / 古装,9.4,513004,,https://movie.douban.com/subject/1418019/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1960
54,黑客帝国,The Matrix,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski 主...,1999,美国,动作 / 科幻,9.1,955858,,https://movie.douban.com/subject/1291843/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1990
55,指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,导演: 彼得·杰克逊 Peter Jackson 主演: 伊利亚·伍德 Elijah Wood / 西恩...,2001,新西兰 / 美国 / 英国,剧情 / 动作 / 奇幻 / 冒险,9.1,965186,,https://movie.douban.com/subject/1291571/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,2000
56,罗马假日,Roman Holiday,导演: 威廉·惠勒 William Wyler 主演: 奥黛丽·赫本 Audrey Hepburn / 格...,1953,美国,喜剧 / 剧情 / 爱情,9.1,1052601,,https://movie.douban.com/subject/1293839/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1950
57,教父2,The Godfather: Part II,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola 主演: 阿尔·帕西诺 A...,1974,美国,剧情 / 犯罪,9.3,644232,,https://movie.douban.com/subject/1299131/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1970
58,狮子王,The Lion King,导演: Roger Allers / 罗伯·明可夫 Rob Minkoff 主演: 乔纳森·泰勒·托马...,1994,美国,动画 / 冒险 / 歌舞,9.1,966013,,https://movie.douban.com/subject/1301753/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1990
59,天堂电影院,Nuovo Cinema Paradiso,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore 主演: 菲利普·努瓦雷 Philipp...,1988,意大利 / 法国,剧情 / 爱情,9.2,744511,,https://movie.douban.com/subject/1291828/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1980
60,饮食男女,飲食男女,导演: 李安 Ang Lee 主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,中国台湾 / 美国,剧情 / 家庭,9.2,730830,,https://movie.douban.com/subject/1291818/,https://movie.douban.com/top250?start=50&filter=,2026-06-26T20:43:20+08:00,1990
